Language,# unique BCTs,black,white,red,yellow,blue,green,brown,#FF9999,orange,gray,purple,#87CEFA,#00008B,#FFB6C1,#8B0000,#FF9933,#B86E25,#60311B,#CCFFCC,#197419,#CCCCCC,#4D4D4D,#B366B3,#4D004D,teal
Akhvakh,9,бачӀидабе,дашидабе,гьиридабе,тӀигьолӀи,хвашуралӀи,жомолӀибе,хӀарилӀикьерели,,,зих̄адабе,щакъилӀикьерёлӀи,,,,,,,,,,,,,,
Bashkir,9,ҡара,аҡ,ҡыҙыл,һары,күк,йәшел,көрән,ал,,бүре,,,,,,,,,,,,,,,
Bezhta,9,цӀодоло,гьаьлдийо,цӀуддо,уклиъис,ничдийо,гьелӀалъцоъос,,шахилако,,кешдийо,чакьилагьас,,,,,,,,,,,,,,
Budukh,9,лагӀа,лузу,ал,соза,цӀору,йашил,шутӀри,кьачӀу,къиркьаб,кьачӀу,,,,,,,,,,,,,,,
Choctaw,9,lusa,tohbi,homma,lakna,okchamali,okchakko,hotonlvkna,okchakvlbi,tulha̱koba,okchamali,okchakvlbi,,,,,,,,,,,,,,
Faroese,9,svartur,hvitur,reyður,gulur,bláur,grønur,brúnur,ljósareyður,,gráur,,,,,,,,,,,,,,,
"Scottish
Gaelic",9,dubh,geal,ruadh,buidhe,gorm,glas,donn,pinc,buidhe,glas,purpaidh,,,,,,,,,,,,,,
Sicilian,9,níuru,biancu,russu,giarnu,bru,virdi,,,arancia,lupu,pùrpura,,,,,,,,,,,,,,
Tat,9,сиегь,сипи,гъирмизи,зерд,кову,савз,,,норинж,буз,беневшегьи,,,,,,,,,,,,,,
Tigrinya,9,ጸሊም,ጻዕዳ,ቀይሕ,ቢጫ,ሰማያዊ,ሓምላይ,ལྗང་ཁུ,,ལི་ཝང,,མུ་མན,,,,,,,,,,,,,,
Welsh,9,du,gwyn,coch,melyn,glas,glas,brown,pinc,oren,glas,piws,,,,,,,,,,,,,,
Wolof,9,ñuul,weex,xonk,mboq,baxa,wert,sokala,pos,orans,,,,,,,,,,,,,,,,
Abaza,10,квайчӀва,шкӀвакӀва,къапщы,гӀвашь,йчӀыхву,йачӀва,гӀвабджя,чвапщ,къапщыра,гӀвабджя,чӀыхв,,,,,,,,,,,,,,
Adyghe,10,шӀуцӀэ,фыжьы,плъыжьы,гъожьы,шхъуантӀэ,уцышъо,хьаплъы,шэплъы,гъожьы- шэплъ,ежьашъо,шхъуантӀэ,,,,,,,,,,,,,,
Assamese,10,কলিযা,বগা,লহিত্,হালধিযা,নীলা,সেুজিযা,মুগা,গুলপীয়া,কমলা,,বেঙুনীয়া,,,,,,,,,,,,,,
Burmese,10,နက်သော,ြဖူေသာ,နီေသာ,ဝါေသာ,ြပေသာ,စိမ်းေသာ,အညိုရောင်,,လိမ္မော္ရောင်,မီးခု္းရောင်,ခရမ္းရောင်,,,,,,,,,,,,,,
Chamorro,10,áttilong,á’paka,agaga’,amariyu,asút,betde,kulot chukulati,kulot di rosa,kulot kahet,,lila,,,,,,,,,,,,,,
Chinese,10,黑,白,紅,黃,藍,綠,啡,,橙,灰,紫,,,,,,,,,,,,,,
Guarani,10,hũ,morotĩ,pytã,sa'yju,hovy,morongy,hũngy,pytãngy,,atĩva,pytaũ,,,,,,,,,,,,,,
Igbo,10,oji,ọchá,mmẹ-mmẹ,édo,alulu,ọchá ndù,ńchárá,,ọchá mmanu mmanu,ntụ ntụ,òdòdò,,,,,,,,,,,,,,
"Irish
(Gaelic)",10,dubh,bán,dearg,buí,gorm,glas,donn,bándearg,"oráiste
flannbhuí",glas,corcra,,,,,,,,,,,,,,
Khinalug,10,мичӀаь,хьырыцӀ,ал,кӀушкӀула,цӀарцӀар,гог,боьнуьш,,махагула,боз,чернил,,,,,,,,,,,,,,
Lojban,10,xekri,blabi,xunre,pelxu,blanu,crino,bunre,,narju,grusi,zirpu,,,,,,,,,,,,,,
Nahuatl,10,tliltic,iztac,chichiltic,coztic,texotic,xoxoctic,chocolatic,tlaztalehualli,xochipalli,nextic,,,,,,,,,,,,,,,
Pashto,10,تور,سپينرنگہ,سور,ژېړ,شين,شين,نسواري,ګلابي,نا رنجې,خاكي,ارغواني,,,,,,,,,,,,,,
Somali,10,madow,cad,guduud,jaalle,buluug,cagaar,midab kafe leh,"basali
guduudan khafiif",midab oranjo,,carwaajiis,,,,,,,,,,,,,,
Telugu,10,నలుపు,తెలుపు,ఎరుపు,పచ్చ,నీలము,పచ్చ,పాల,చంద్రకావి,నారింజ,మసర,త్సామనము,,,,,,,,,,,,,,
Tibetan,10,ནག་པོ་,དཀར་པོ་,དམར་པོ་,སེར་པོ་,སྔོན་པོ་,ལྗང་ཁུ་,རྒྱ་སྨྱུག་,ཟིང་སྐྱ་,དམར་རསེ་,,མུ་མན་,,,,,,,,,,,,,,
Tofa,10,қара,ақ,қызыл,сарығ,ақ-көк,суғ-көк,һүрең,,ызыл-сарығ,бора,қараңғы-көк,,,,,,,,,,,,,,
Vietnamese,10,đen,trắng,đỏ,màu vàng,xanh,xanh,nâu,hồng,màu cam,xám,tím,,,,,,,,,,,,,,
Xhosa,10,mnyama,mhlophe,bomvu,lebhelu,luhlaza,luhlaza,ntsundu,pinki,orenji,ngwevu,mfusa,,,,,,,,,,,,,,
Afrikaans,11,swart,blank,rooi,geel,blou,groen,bruin,pienk,oranje,grys,purper,,,,,,,,,,,,,,
Amharic,11,ጥቁር,ነጭ,ቀይ,ቢጫ,ሰማያዊ,አርንጓዴ,ቡና አይነት,ሮዝ,ብርቱካን አይነት,ግራጫ,ሐምራዊ,,,,,,,,,,,,,,
Arabic,11,أسود,أبيض,أحمر,أصفر,أزرق,أخضر,بنّي,وردي - زهريّ,برتقالي,رمادي,بنفسجيّ,,,,,,,,,,,,,,
Asturian,11,prietu,blancu,bermeyu,mariellu,azul,verde,marrón,rosa,naranxa,buxu,purple,,,,,,,,,,,,,,
Aymara,11,čˀiyara,xanḳˀu,čupika,ḳˀilʸu,larama,čˀuχɲa,ch'umpi,anti,churi,ch'ixi,kulli,,,,,,,,,,,,,,
Azerbaijani,11,qara,ağ,qɪrmɪzɪ,sarɪ,göy,yaşɪl,qəhvəyi,çəhrayɪ,narıncı,boz,tünd qırmızı,,,,,,,,,,,,,,
Balinese,11,selem,putih,barak,kuning,pelung,gadang,soklat,dadu,oranye,kelawu,tangi,,,,,,,,,,,,,,
Belarusian,11,чорны,белы,чырвоны,жоўты,сіні,зялоны,карычневы,ружовы,аранжавы,шэры,фіялетавы,,,,,,,,,,,,,,
Breton,11,du,gwenn,ru,melen,glas,gwer,gell,roz,orange,gris,limestra,,,,,,,,,,,,,,
Bulgarian,11,черeн,бял,червен,жълт,cин,зелен,кафяв,розов,оранжев,сив,виолетов,,,,,,,,,,,,,,
Catalan,11,negre,blanc,vermell,groc,blau,verd,marró,rosa,taronja,gris,porpra,,,,,,,,,,,,,,
Cherokee,11,ᎬᎿᎨ,ᎤᏁᎦ,ᎩᎦᎨ,ᏓᎶᏂᎨ,ᏌᎪᏂᎨ,ᎢᏥᎢᏳᏍᏗ,ᎤᏬᏗᎨ,ᎦᎦᎨ ᎤᏍᎪᎸ,ᎠᏓᎶᏂᎨ,ᎬᎿᎨ ᎤᏍᎪᎸ,ᎠᏛᎭᎵᎨ,,,,,,,,,,,,,,
Cornish,11,du,gwynn,rudh,melyn,glas,gwyrdh,gell,gwynnrudh,rudhvelyn,loes,rushlas,,,,,,,,,,,,,,
Corsican,11,neru,biancu,rossu,giallu,turchini,verdi,brunu,rosa,arancinu,grisgiu,viulettu,,,,,,,,,,,,,,
Croatian,11,crna,bijela,crvena,žuta,plava,zelena,smeđa,ružičasta,narančasta,siva,ljubičasta,,,,,,,,,,,,,,
Czech,11,černá,bílá,červená,žlutá,modrá,zelená,hnědá,růžová,oranžová,šedá,fialová,,,,,,,,,,,,,,
Danish,11,sort,hvid,rød,gul,blå,grøn,brun,lyserød,orange,grå,lilla,,,,,,,,,,,,,,
Dutch,11,zwart,wit,rood,geel,blauw,groen,bruin,roze,oranje,grijs,paars,,,,,,,,,,,,,,
English,11,black,white,red,yellow,blue,green,brown,pink,orange,grey,purple,,,,,,,,,,,,,,
Esperanto,11,nigra,blanca,ruĝa,flava,blua,verda,bruna,roz(kolor)a,oranĝ(kolor)a,griza,viol(kolor)a,,,,,,,,,,,,,,
Estonian,11,must,valge,punane,kollane,sinine,roheline,pruun,roosa,oranž,hall,lilla,,,,,,,,,,,,,,
Filipino,11,itim,puti,púla,dilaw,asul,berde,tsokolate,rosas,dalandan,"abó
ábuhin",lilà,,,,,,,,,,,,,,
French,11,noir,blanc,rouge,jaune,bleu,vert,brun,rose,orange,gris,violet,,,,,,,,,,,,,,
